0,1,2,layer
307,394833.6007777773,2385067.667611111,0
308,395673.69799999957,2385067.667611111,0
309,396513.7952222218,2385715.4620555555,0
310,397353.89244444406,2385715.4620555555,0
311,396513.7952222218,2385067.667611111,0
312,397353.89244444406,2385067.667611111,0
313,398193.9896666662,2387011.0509444447,0
314,399034.08688888844,2387011.0509444447,0
315,398193.9896666662,2386363.2565,0
316,399034.08688888844,2386363.2565,0
317,399874.1841111107,2387011.0509444447,0
318,400714.28133333294,2387011.0509444447,0
319,399874.1841111107,2386363.2565,0
320,400714.28133333294,2386363.2565,0
321,398193.9896666662,2385715.4620555555,0
322,399034.08688888844,2385715.4620555555,0
323,398193.9896666662,2385067.667611111,0
324,399034.08688888844,2385067.667611111,0
325,399874.1841111107,2385715.4620555555,0
326,400714.28133333294,2385715.4620555555,0
327,399874.1841111107,2385067.667611111,0
328,400714.28133333294,2385067.667611111,0
329,401554.3785555551,2387011.0509444447,0
330,402394.4757777773,2387011.0509444447,0
331,401554.3785555551,2386363.2565,0
332,402394.4757777773,2386363.2565,0
333,403234.57299999957,2387011.0509444447,0
334,404074.6702222218,2387011.0509444447,0
335,403234.57299999957,2386363.2565,0
336,404074.6702222218,2386363.2565,0
337,401554.3785555551,2385715.4620555555,0
338,402394.4757777773,2385715.4620555555,0
339,401554.3785555551,2385067.667611111,0
340,402394.4757777773,2385067.667611111,0
341,403234.57299999957,2385715.4620555555,0
342,404074.6702222218,2385715.4620555555,0
343,403234.57299999957,2385067.667611111,0
344,404074.6702222218,2385067.667611111,0
345,404914.7674444439,2387011.0509444447,0
346,405754.86466666614,2387011.0509444447,0
347,404914.7674444439,2386363.2565,0
348,405754.86466666614,2386363.2565,0
349,406594.9618888884,2387011.0509444447,0
350,407435.05911111063,2387011.0509444447,0
351,406594.9618888884,2386363.2565,0
352,407435.05911111063,2386363.2565,0
353,404914.7674444439,2385715.4620555555,0
354,405754.86466666614,2385715.4620555555,0
355,404914.7674444439,2385067.667611111,0
356,405754.86466666614,2385067.667611111,0
357,406594.9618888884,2385715.4620555555,0
358,407435.05911111063,2385715.4620555555,0
359,406594.9618888884,2385067.667611111,0
360,407435.05911111063,2385067.667611111,0
361,408275.15633333276,2387011.0509444447,0
362,409115.253555555,2387011.0509444447,0
363,408275.15633333276,2386363.2565,0
364,409115.253555555,2386363.2565,0
365,409955.35077777726,2386363.2565,0
366,408275.15633333276,2385715.4620555555,0
367,409115.253555555,2385715.4620555555,0
368,408275.15633333276,2385067.667611111,0
369,409115.253555555,2385067.667611111,0
370,409955.35077777726,2385715.4620555555,0
371,410795.4479999995,2385715.4620555555,0
372,409955.35077777726,2385067.667611111,0
373,410795.4479999995,2385067.667611111,0
374,411635.54522222164,2385715.4620555555,0
375,411635.54522222164,2385067.667611111,0
376,412475.6424444439,2385067.667611111,0
377,413315.73966666614,2385067.667611111,0
378,340227.2813333332,2382476.4898333335,0
379,342747.5729999998,2382476.4898333335,0
380,343587.67022222205,2382476.4898333335,0
381,346107.9618888887,2383772.0787222227,0
382,346948.0591111109,2383772.0787222227,0
383,344427.7674444442,2383124.284277778,0
384,345267.8646666664,2383124.284277778,0
385,344427.7674444442,2382476.4898333335,0
386,345267.8646666664,2382476.4898333335,0
387,346107.9618888887,2383124.284277778,0
388,346948.0591111109,2383124.284277778,0
389,346107.9618888887,2382476.4898333335,0
390,346948.0591111109,2382476.4898333335,0
391,348628.2535555553,2384419.8731666673,0
392,347788.15633333306,2383772.0787222227,0
393,348628.2535555553,2383772.0787222227,0
394,349468.35077777755,2384419.8731666673,0
395,350308.4479999998,2384419.8731666673,0
396,349468.35077777755,2383772.0787222227,0
397,350308.4479999998,2383772.0787222227,0
398,347788.15633333306,2383124.284277778,0
399,348628.2535555553,2383124.284277778,0
400,347788.15633333306,2382476.4898333335,0
401,348628.2535555553,2382476.4898333335,0
402,349468.35077777755,2383124.284277778,0
403,350308.4479999998,2383124.284277778,0
404,349468.35077777755,2382476.4898333335,0
405,350308.4479999998,2382476.4898333335,0
406,351148.54522222193,2384419.8731666673,0
407,351988.6424444442,2384419.8731666673,0
408,351148.54522222193,2383772.0787222227,0
409,351988.6424444442,2383772.0787222227,0
410,352828.7396666664,2384419.8731666673,0
411,353668.8368888887,2384419.8731666673,0
412,352828.7396666664,2383772.0787222227,0
413,353668.8368888887,2383772.0787222227,0
414,351148.54522222193,2383124.284277778,0
415,351988.6424444442,2383124.284277778,0
416,351148.54522222193,2382476.4898333335,0
417,351988.6424444442,2382476.4898333335,0
418,352828.7396666664,2383124.284277778,0
419,353668.8368888887,2383124.284277778,0
420,352828.7396666664,2382476.4898333335,0
421,353668.8368888887,2382476.4898333335,0
422,354508.9341111108,2384419.8731666673,0
423,355349.03133333306,2384419.8731666673,0
424,354508.9341111108,2383772.0787222227,0
425,355349.03133333306,2383772.0787222227,0
426,356189.1285555553,2384419.8731666673,0
427,357029.22577777755,2384419.8731666673,0
428,356189.1285555553,2383772.0787222227,0
429,357029.22577777755,2383772.0787222227,0
430,354508.9341111108,2383124.284277778,0
431,355349.03133333306,2383124.284277778,0
432,354508.9341111108,2382476.4898333335,0
433,355349.03133333306,2382476.4898333335,0
434,356609.1771666664,2382800.387055556,0
435,357869.3229999997,2384419.8731666673,0
436,358709.42022222193,2384419.8731666673,0
437,357869.3229999997,2383772.0787222227,0
438,358709.42022222193,2383772.0787222227,0
439,359549.5174444442,2384419.8731666673,0
440,360389.6146666664,2384419.8731666673,0
441,359549.5174444442,2383772.0787222227,0
442,360389.6146666664,2383772.0787222227,0
443,357869.3229999997,2383124.284277778,0
444,358709.42022222193,2383124.284277778,0
445,357869.3229999997,2382476.4898333335,0
446,358709.42022222193,2382476.4898333335,0
447,359549.5174444442,2383124.284277778,0
448,360389.6146666664,2383124.284277778,0
449,359549.5174444442,2382476.4898333335,0
450,360389.6146666664,2382476.4898333335,0
451,361229.71188888856,2384419.8731666673,0
452,362069.8091111108,2384419.8731666673,0
453,361229.71188888856,2383772.0787222227,0
454,362069.8091111108,2383772.0787222227,0
455,362909.90633333306,2383772.0787222227,0
456,363750.0035555553,2383772.0787222227,0
457,361229.71188888856,2383124.284277778,0
458,362069.8091111108,2383124.284277778,0
459,361229.71188888856,2382476.4898333335,0
460,362069.8091111108,2382476.4898333335,0
461,362909.90633333306,2383124.284277778,0
462,363750.0035555553,2383124.284277778,0
463,362909.90633333306,2382476.4898333335,0
464,363750.0035555553,2382476.4898333335,0
465,365430.1979999997,2384419.8731666673,0
466,364590.10077777744,2383772.0787222227,0
467,365430.1979999997,2383772.0787222227,0
468,366270.29522222193,2384419.8731666673,0
469,367110.3924444442,2384419.8731666673,0
470,366270.29522222193,2383772.0787222227,0
471,367110.3924444442,2383772.0787222227,0
472,364590.10077777744,2383124.284277778,0
473,365430.1979999997,2383124.284277778,0
474,364590.10077777744,2382476.4898333335,0
475,365430.1979999997,2382476.4898333335,0
476,366270.29522222193,2383124.284277778,0
477,367110.3924444442,2383124.284277778,0
478,366270.29522222193,2382476.4898333335,0
479,367110.3924444442,2382476.4898333335,0
480,367950.4896666663,2384419.8731666673,0
481,368790.58688888856,2384419.8731666673,0
482,367950.4896666663,2383772.0787222227,0
483,368790.58688888856,2383772.0787222227,0
484,369630.6841111108,2384419.8731666673,0
485,370470.78133333306,2384419.8731666673,0
486,369630.6841111108,2383772.0787222227,0
487,370470.78133333306,2383772.0787222227,0
488,367950.4896666663,2383124.284277778,0
489,368790.58688888856,2383124.284277778,0
490,367950.4896666663,2382476.4898333335,0
491,368790.58688888856,2382476.4898333335,0
492,369630.6841111108,2383124.284277778,0
493,370470.78133333306,2383124.284277778,0
494,369630.6841111108,2382476.4898333335,0
495,370470.78133333306,2382476.4898333335,0
496,371310.8785555552,2384419.8731666673,0
497,372150.97577777744,2384419.8731666673,0
498,371310.8785555552,2383772.0787222227,0
499,372150.97577777744,2383772.0787222227,0
500,372991.0729999997,2384419.8731666673,0
501,373831.17022222193,2384419.8731666673,0
502,372991.0729999997,2383772.0787222227,0
503,373831.17022222193,2383772.0787222227,0
504,371310.8785555552,2383124.284277778,0
505,372150.97577777744,2383124.284277778,0
506,371310.8785555552,2382476.4898333335,0
507,372150.97577777744,2382476.4898333335,0
508,373411.1216111108,2382800.387055556,0
509,374671.26744444406,2384419.8731666673,0
510,375511.3646666663,2384419.8731666673,0
511,374671.26744444406,2383772.0787222227,0
512,375511.3646666663,2383772.0787222227,0
513,376771.5104999997,2384095.975944445,0
514,375091.3160555552,2382800.387055556,0
515,376771.5104999997,2382800.387055556,0
516,378451.70494444406,2384095.975944445,0
517,380131.89938888856,2384095.975944445,0
518,378451.70494444406,2382800.387055556,0
519,380131.89938888856,2382800.387055556,0
520,382652.1910555552,2383448.1815000004,0
521,386012.57994444406,2383448.1815000004,0
522,389372.96883333294,2383448.1815000004,0
523,391893.26049999957,2384095.975944445,0
524,393573.45494444406,2384095.975944445,0
525,391893.26049999957,2382800.387055556,0
526,393573.45494444406,2382800.387055556,0
527,394833.6007777773,2384419.8731666673,0
528,395673.69799999957,2384419.8731666673,0
529,394833.6007777773,2383772.0787222227,0
530,395673.69799999957,2383772.0787222227,0
531,396513.7952222218,2384419.8731666673,0
532,397353.89244444406,2384419.8731666673,0
533,396513.7952222218,2383772.0787222227,0
534,397353.89244444406,2383772.0787222227,0
535,395253.64938888844,2382800.387055556,0
536,396933.84383333294,2382800.387055556,0
537,398193.9896666662,2384419.8731666673,0
538,399034.08688888844,2384419.8731666673,0
539,398193.9896666662,2383772.0787222227,0
540,399034.08688888844,2383772.0787222227,0
541,399874.1841111107,2384419.8731666673,0
