-34 -35 -35 -35 -35 -35 -35 -35 -35 -35 
-35 -35 -35 -35 -35 -35 -35 -28 -28 -28 
-28 -28 -28 -28 -28 -28 -28 -28 -28 -28 
-28 -28 -28 -36 -36 -36 -36 -36 -36 -36 
-36 -36 -36 -36 -36 -36 -36 -36 -36 -26 
-26 -26 -26 -26 -26 -26 -26 -26 -26 -26 
-26 -26 -26 -26 -26 -30 -30 -30 -30 -30 
-30 -30 -30 -30 -30 -30 -30 -30 -30 -30 
-30 -24 -24 -24 -24 -24 -24 -24 -24 -24 
-24 -24 -24 -24 -24 -24 -24 -22 -22 -22 
-22 -22 -22 -22 -22 -22 -22 -22 -22 -22 
-22 -22 -22 -28 -28 -28 -28 -28 -28 -28 
-28 -28 -28 -28 -28 -28 -28 -28 -28 -24 
-24 -24 -24 -24 -24 -24 -24 -24 -24 -24 
-24 -24 -24 -24 -24 -30 -30 -30 -30 -30 
-30 -30 -30 -30 -30 -30 -30 -30 -30 -30 
