iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mr_rest,mr_upland
1,0,10,0.75,1.04077,1,0.924222,1.90866,1.00279,1.00232,1.8,0.32874
1,0,10,1.1,1.04608,1,0.904164,1.93999,1.00198,1.00003,1.8,0.305259
1,0,100,1,1.0312,1,0.963711,1.92452,1.00437,1.00728,1.79925,0.376255
1,0,100,0.75,1.03077,1,0.96496,1.90386,1.00441,1.00727,1.79944,0.378501
1,0,100,1.1,1.03137,1,0.963212,1.93285,1.00435,1.00728,1.79917,0.375361
1,0,1000,1,1.02969,1,0.968408,1.86418,1.00453,1.00737,1.7856,0.384225
1,0,1000,0.75,1.02964,1,0.968485,1.85891,1.00453,1.00734,1.78919,0.384498
1,0,1000,1.1,1.02972,1,0.968377,1.86629,1.00453,1.00739,1.78416,0.384116
2,0,0.1,1,1.66667,1,0.111111,1.21713,0.773146,0.466007,1.8,0.2
2,0,0.1,0.75,1.48347,1,0.187664,1.36758,0.824918,0.564024,1.8,0.2223
2,0,0.1,1.1,1.66667,1,0.111111,1.16169,0.753358,0.431748,1.8,0.2
2,0,1,1,1.20982,1,0.474459,1.81667,0.976353,0.916045,1.8,0.2
2,0,1,0.75,1.16663,1,0.557456,1.84675,0.982698,0.936356,1.8,0.2223
2,0,1,1.1,1.22755,1,0.444829,1.80478,0.973826,0.908045,1.8,0.2
2,0,10,1,1.06116,1,0.846478,1.92164,0.999386,0.991111,1.8,0.260256
2,0,10,0.75,1.05737,1,0.860545,1.92622,1.00003,0.993334,1.8,0.270843
2,0,10,1.1,1.06268,1,0.840915,1.91982,0.999127,0.990223,1.8,0.256138
2,0,100,1,1.04756,1,0.898163,1.93433,1.00172,0.999101,1.8,0.300444
2,0,100,0.75,1.04719,1,0.899659,1.93574,1.00178,0.999334,1.8,0.301641
2,0,100,1.1,1.04771,1,0.897565,1.93376,1.00169,0.999008,1.8,0.299967
2,0,1000,1,1.04623,1,0.903552,1.9386,1.00195,0.999931,1.8,0.30478
2,0,1000,0.75,1.04619,1,0.903705,1.93895,1.00196,0.999957,1.8,0.3049
2,0,1000,1.1,1.04624,1,0.90349,1.93846,1.00195,0.999921,1.8,0.304733
3,0,0.1,1,1.66667,1,0.111111,2.22222,0.942299,0.608865,1.8,0.2
3,0,0.1,0.75,1.53839,1,0.159723,2.11305,0.950699,0.674326,1.8,0.2
3,0,0.1,1.1,1.66667,1,0.111111,2.22222,0.938959,0.584496,1.8,0.2
3,0,1,1,1.50835,1,0.244936,1.95253,0.97236,0.87556,1.8,0.2
3,0,1,0.75,1.42744,1,0.28896,1.91764,0.973357,0.885511,1.8,0.2
3,0,1,1.1,1.54199,1,0.229265,1.96666,0.971962,0.871612,1.8,0.2
3,0,10,1,1.23731,1,0.444527,1.92214,0.97607,0.912676,1.8,0.2
3,0,10,0.75,1.23038,1,0.451828,1.89521,0.976141,0.913517,1.8,0.2
3,0,10,1.1,1.24009,1,0.44164,1.93302,0.976042,0.912339,1.8,0.2
3,0,100,1,1.21284,1,0.471746,1.88571,0.976405,0.916232,1.78875,0.2
3,0,100,0.75,1.21209,1,0.472423,1.86821,0.976392,0.916185,1.79155,0.2
3,0,100,1.1,1.21315,1,0.471476,1.89276,0.97641,0.91625,1.78762,0.2
3,0,1000,1,1.21019,1,0.47427,1.8364,0.976376,0.916181,1.78442,0.2
3,0,1000,0.75,1.2101,1,0.474317,1.83144,0.97637,0.916147,1.7883,0.2
