0 0 1 1 1 1 3 3 3 3 
8 7 2 0 5 4 15 7 5 4 
4 6 6 11 5 6 6 5 2 2 
-1 1 4 4 5 8 11 12 11 11 
11 11 11 11 11 11 11 11 11 11 
11 11 11 11 11 11 11 11 11 12 
12 12 12 12 12 12 12 12 12 10 
10 10 10 10 10 10 10 10 10 10 
10 10 10 10 10 17 17 17 17 17 
17 17 17 17 17 17 17 17 17 17 
17 19 19 19 19 19 19 19 19 19 
19 9 10 14 14 14 14 14 14 14 
16 16 16 16 16 16 16 16 13 20 
19 19 19 19 19 19 19 19 19 19 
14 14 14 14 14 14 14 12 20 20 
20 20 9 9 9 9 18 12 9 10 
12 11 10 10 18 9 9 11 9 10 
10 7 23 10 10 9 10 -16 -16 -16 
-16 -16 -16 -16 -16 -16 -16 -16 -16 -16 
-5 -5 -5 -5 -5 -5 -5 -5 -5 -5 
-5 -5 -5 -5 -5 -5 -1 -1 -1 -1 
-1 -1 -1 0 0 0 0 3 3 2 
1 1 1 1 4 4 4 4 4 4 
4 4 4 4 4 4 4 4 4 4 
21 21 21 21 6 3 0 1 4 23 
15 7 4 4 6 5 4 7 6 5 
2 0 3 -1 3 5 7 7 11 12 
10 9 15 15 15 15 9 9 9 9 
9 9 9 9 9 9 9 9 9 12 
12 12 12 12 12 12 12 12 12 12 
12 12 12 12 12 11 11 11 11 11 
11 11 11 11 11 11 11 11 12 12 
12 12 12 12 12 17 17 17 17 10 
18 11 16 20 19 19 19 19 20 20 
20 20 20 20 20 19 19 19 19 19 
19 19 11 11 11 11 11 11 11 12 
19 14 16 10 14 10 19 19 19 19 
19 19 19 11 11 11 11 9 10 11 
9 11 10 9 9 10 9 23 11 10 
10 18 -15 -16 -16 -16 -16 -16 -16 -16 
-16 -16 -16 -16 3 3 3 3 3 3 
