iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
1,0,10,0.75,1.60667,1,0.658207,1.96498,0.878171,0.420206,1.8,0.2
1,0,10,1.1,1.62553,1,0.641492,1.93476,0.873104,0.414123,1.8,0.2
1,0,100,1,1.57174,1,0.690197,1.96521,0.887734,0.431806,1.8,0.2
1,0,100,0.75,1.57055,1,0.69152,1.98154,0.888082,0.43224,1.8,0.2
1,0,100,1.1,1.57222,1,0.689669,1.95872,0.887594,0.431633,1.8,0.2
1,0,1000,1,1.56735,1,0.694928,2.01248,0.889005,0.433384,1.8,0.2
1,0,1000,0.75,1.56726,1,0.695072,2.01718,0.889036,0.433424,1.8,0.2
1,0,1000,1.1,1.56739,1,0.69487,2.01061,0.888992,0.433368,1.8,0.2
2,0,0.01,1,1.66667,1,0.111111,1.95007,0.3,0.3,1.8,0.2
2,0,0.01,0.75,1.66667,1,0.111111,1.95239,0.3,0.3,1.8,0.2
2,0,0.01,1.1,1.66667,1,0.111111,1.94915,0.3,0.3,1.8,0.2
2,0,0.1,1,1.66667,1,0.111111,1.95008,0.3,0.3,1.8,0.2
2,0,0.1,0.75,1.66667,1,0.111111,1.95239,0.3,0.3,1.8,0.2
2,0,0.1,1.1,1.66667,1,0.111111,1.94915,0.3,0.3,1.8,0.2
2,0,1,1,1.66667,1,0.111111,1.95011,0.3,0.3,1.8,0.2
2,0,1,0.75,1.66667,1,0.111111,1.95242,0.3,0.3,1.8,0.2
2,0,1,1.1,1.66667,1,0.111111,1.94918,0.3,0.3,1.8,0.2
2,0,10,1,1.66667,1,0.111111,1.95038,0.3,0.3,1.8,0.2
2,0,10,0.75,1.66667,1,0.111111,1.95263,0.3,0.3,1.8,0.2
2,0,10,1.1,1.66667,1,0.111111,1.94949,0.3,0.3,1.8,0.2
2,0,100,1,1.66667,1,0.111111,1.95246,0.3,0.3,1.8,0.2
2,0,100,0.75,1.66667,1,0.111111,1.95419,0.3,0.3,1.8,0.2
2,0,100,1.1,1.66667,1,0.111111,1.95177,0.3,0.3,1.8,0.2
2,0,1000,1,1.66667,1,0.111111,1.95728,0.3,0.3,1.8,0.2
2,0,1000,0.75,1.66667,1,0.111111,1.9578,0.3,0.3,1.8,0.2
2,0,1000,1.1,1.66667,1,0.111111,1.95707,0.3,0.3,1.8,0.2
3,0,0.01,1,1.66667,1,0.111111,1.95001,0.3,0.3,1.8,0.2
3,0,0.01,0.75,1.66667,1,0.111111,1.94988,0.3,0.3,1.8,0.2
3,0,0.01,1.1,1.66667,1,0.111111,1.95006,0.3,0.3,1.8,0.2
3,0,0.1,1,1.66667,1,0.111111,1.95001,0.3,0.3,1.8,0.2
3,0,0.1,0.75,1.66667,1,0.111111,1.94988,0.3,0.3,1.8,0.2
3,0,0.1,1.1,1.66667,1,0.111111,1.95006,0.3,0.3,1.8,0.2
3,0,1,1,1.66667,1,0.111111,1.95001,0.3,0.3,1.8,0.2
3,0,1,0.75,1.66667,1,0.111111,1.94988,0.3,0.3,1.8,0.2
3,0,1,1.1,1.66667,1,0.111111,1.95006,0.3,0.3,1.8,0.2
3,0,10,1,1.66667,1,0.111111,1.94999,0.3,0.3,1.8,0.2
3,0,10,0.75,1.66667,1,0.111111,1.94987,0.3,0.3,1.8,0.2
3,0,10,1.1,1.66667,1,0.111111,1.95004,0.3,0.3,1.8,0.2
3,0,100,1,1.66667,1,0.111111,1.94988,0.3,0.3,1.8,0.2
